Marca temporal,1 - ¿Tienes mascota?,2 - Indica tu género ,3 - Edad ,4 - ¿Qué mascotas tienes? ,5 - Si tienes perro...,6 - Si tienes gato...,7 - ¿Cuánto tiempo al día pasas con tu mascota? ,8 - ¿Cuándo vas de vacaciones viajas con tu mascota? ,"9 - Aproximadamente, ¿cuánto dinero gastas al año en tu mascota?",10 - ¿Tienes esterilizada a tu mascota?,"11 - Si tienes perro, ¿de qué raza es? ","12 - Si tienes gato, ¿de qué raza es? ",13 - ¿Consideras que tu mascota te hace más feliz?,14 - ¿Consideras que tu mascota es un miembro más de la familia?
22/04/2024 14:12:14,Sí,Mujer,35 - 45 años,Perro,Adoptado,,+ de 1 hora,A veces,Menos de 1000€,No,Perro de aguas ,,Sí,Sí
22/04/2024 14:16:10,Sí,Mujer,45 -55 años,Perro,Comprado,,1 hora,No,Entre 1000€ y 2000€,Sí,Labrador,,Sí,Sí
22/04/2024 14:18:35,Sí,Hombre,25- 35 años,Gato,,Adoptado,+ de 1 hora,No,Menos de 1000€,Sí,,Otro,Sí,Sí
22/04/2024 14:20:22,Sí,Hombre,25- 35 años,Perro,Adoptado,,+ de 1 hora,No,Menos de 1000€,Sí,Mestizo,,Sí,Sí
22/04/2024 14:22:54,Sí,Mujer,18-25 años,Gato,,Adoptado,+ de 1 hora,No,Menos de 1000€,Sí,,Otro,Sí,Sí
22/04/2024 14:25:28,No,Hombre,45 -55 años,No tengo,,,,,,,,,,
22/04/2024 14:26:35,Sí,Mujer,25- 35 años,Gato,Adoptado,Adoptado,1 hora,A veces,Menos de 1000€,Sí,Bóxer,Azul ruso,Sí,Sí
22/04/2024 14:45:17,Sí,Mujer,45 -55 años,Perro,Adoptado,,30 minutos,No,Menos de 1000€,No,Mestizo,,Sí,Sí
22/04/2024 14:53:36,Sí,Hombre,25- 35 años,Gato,,Adoptado,+ de 1 hora,No,Entre 1000€ y 2000€,Sí,,No lo sé,Sí,Sí
22/04/2024 15:12:02,Sí,Mujer,25- 35 años,Perro,Comprado,,+ de 1 hora,A veces,Menos de 1000€,No,Pomerania,,Sí,Sí
22/04/2024 15:17:15,Sí,Mujer,25- 35 años,Perro,Comprado,,+ de 1 hora,A veces,Entre 1000€ y 2000€,No,Springer Spaniel,,Sí,Sí
22/04/2024 15:17:41,Sí,Mujer,25- 35 años,Perro,Comprado,,1 hora,A veces,Entre 1000€ y 2000€,No,No lo sé,,Sí,Sí
22/04/2024 15:18:15,No,Mujer,35 - 45 años,Ninguna ,,,,,,,,,,
22/04/2024 15:21:05,"Sí, No",Hombre,+55 años,Perro,Adoptado,,+ de 1 hora,No,Entre 1000€ y 2000€,No,,,,Sí
22/04/2024 15:33:37,Sí,Mujer,18-25 años,Perro,"Comprado, Adoptado",,+ de 1 hora,A veces,Menos de 1000€,"Sí, No","San bernardo, mestizo mastín, schnauzer ",,Sí,Sí
22/04/2024 15:34:40,No,Mujer,35 - 45 años,,,,,,,,,,,
22/04/2024 15:44:52,Sí,Mujer,25- 35 años,Perro,Adoptado,,+ de 1 hora,Sí,Menos de 1000€,Sí,Podenco,,Sí,Sí
22/04/2024 15:47:33,Sí,Mujer,18-25 años,Gato,,Adoptado,1 hora,No,Menos de 1000€,Sí,,No lo sé,Sí,Sí
22/04/2024 15:50:27,Sí,Mujer,25- 35 años,Gato,,Adoptado,+ de 1 hora,No,Entre 1000€ y 2000€,Sí,,Siamés,Sí,Sí
22/04/2024 15:55:32,Sí,Mujer,25- 35 años,Perro,Adoptado,,+ de 1 hora,No,Entre 1000€ y 2000€,Sí,Pitbull,,Sí,Sí
22/04/2024 16:01:35,Sí,Mujer,25- 35 años,Gato,,Adoptado,30 minutos,No,Menos de 1000€,Sí,,Otro,Sí,Sí
22/04/2024 16:13:55,No,Mujer,18-25 años,,,,,,,,,,,
22/04/2024 16:14:53,No,Mujer,18-25 años,No tengo ,,,,,,,,,,
22/04/2024 16:18:40,Sí,Mujer,25- 35 años,Perro,Adoptado,,+ de 1 hora,No,Menos de 1000€,Sí,Mestizo,,Sí,Sí
22/04/2024 16:20:13,Sí,Mujer,25- 35 años,Perro,Adoptado,,+ de 1 hora,A veces,Entre 2000€ y 3000€,Sí,Mestizo,,Sí,Sí
